发布状态,发布语言数,已发布语言,缺失语言,中文名,中文名来源,英文名,GameGulf链接,brief文件,重复brief,内容类型,抽取日期,Metacritic,brief来源,英文文章slug,首次发布日期,verdict,badge
已发布完整,7/7,"en, zh-hans, ja, fr, es, de, pt",,十三机兵防卫圈,zh-hans title,13 Sentinels: Aegis Rim,https://www.gamegulf.com/detail/eLGzpo7MZsV,13-sentinels-aegis-rim.json,,完整游戏,2026-04-07,88,"gamegulf,hltb",13-sentinels-aegis-rim-worth-it,2026-04-07,buy_now,Buy now
未发布,0/7,,"en, zh-hans, ja, fr, es, de, pt",短途旅行,manual/common,A Short Hike,https://www.gamegulf.com/detail/3cRpSyamElv,a-short-hike.json,,完整游戏,2026-04-26,88,gamegulf,,,,
已发布完整,7/7,"en, zh-hans, ja, fr, es, de, pt",,AI：梦境档案,zh-hans title,AI: THE SOMNIUM FILES,https://www.gamegulf.com/detail/1GAuWdlKwtB,ai-the-somnium-files.json,,完整游戏,2026-04-29,86,gamegulf,ai-the-somnium-files-worth-it,2026-04-30,buy_now,Buy now
未发布,0/7,,"en, zh-hans, ja, fr, es, de, pt",集合啦！动物森友会 岛屿搬家服务,manual/common,Animal Crossing: New Horizons Island Transfer Tool,https://www.gamegulf.com/detail/70tkQPwVGp,animal-crossing-new-horizons-island-transfer-tool.json,,工具/迁移工具,2026-04-26,90,gamegulf,,,,
已发布完整,7/7,"en, zh-hans, ja, fr, es, de, pt",,集合啦！动物森友会,zh-hans title,Animal Crossing™: New Horizons,https://www.gamegulf.com/detail/dBQesuYO7Cn,animal-crossing-new-horizons.json,,完整游戏,2026-04-07,,"gamegulf,hltb",animal-crossing-new-horizons,2026-04-07,buy_now,Buy now
已发布完整,7/7,"en, zh-hans, ja, fr, es, de, pt",,动物井,zh-hans title,ANIMAL WELL,https://www.gamegulf.com/detail/64ud7IJ2teL,animal-well.json,,完整游戏,2026-04-29,90,gamegulf,animal-well-worth-it,2026-04-30,buy_now,Buy now
未发布,0/7,,"en, zh-hans, ja, fr, es, de, pt",Assault Android Cactus+（中文名待确认）,manual/common,Assault Android Cactus+,https://www.gamegulf.com/detail/3FBK8MMWRHv,assault-android-cactus.json,,完整游戏,2026-04-26,86,gamegulf,,,,
已发布完整,7/7,"en, zh-hans, ja, fr, es, de, pt",,雅达利50：周年纪念合集,zh-hans title,Atari 50: The Anniversary Celebration,https://www.gamegulf.com/detail/31CqSWiuTPi,atari-50-the-anniversary-celebration.json,,完整游戏,2026-04-29,89,"gamegulf,hltb",atari-50-the-anniversary-celebration-worth-it,2026-04-30,wait_for_sale,Wait for sale
部分发布,1/7,en,"zh-hans, ja, fr, es, de, pt",小丑牌,manual/common,Balatro,https://www.gamegulf.com/detail/6QsTv19f45u,balatro.json,,完整游戏,2026-04-29,90,gamegulf,balatro-worth-it,2026-04-30,buy_now,Buy now
未发布,0/7,,"en, zh-hans, ja, fr, es, de, pt",堡垒,manual/common,Bastion,https://www.gamegulf.com/detail/2xQi0B58XvR,bastion.json,,完整游戏,2026-04-29,90,"gamegulf,hltb",,,,
已发布完整,7/7,"en, zh-hans, ja, fr, es, de, pt",,猎天使魔女2,zh-hans title,Bayonetta™ 2,https://www.gamegulf.com/detail/7eOWUfu8QJS,bayonetta-2.json,,完整游戏,2026-04-29,92,"gamegulf,hltb",bayonetta-2-worth-it,2026-04-30,buy_now,Buy now
未发布,0/7,,"en, zh-hans, ja, fr, es, de, pt",爆旋陀螺 X EVOBATTLE（中文名待确认）,manual/common,BEYBLADE X EVOBATTLE,https://www.gamegulf.com/detail/cRdwEnEBMxZ,beyblade-x-evobattle.json,,完整游戏,2026-04-21,,"gamegulf,steam",,,,
未发布,0/7,,"en, zh-hans, ja, fr, es, de, pt",Bubsy 4D（中文名待确认）,manual/common,Bubsy 4D,https://www.gamegulf.com/detail/cAMH7qpHeAZ,bubsy-4d.json,,完整游戏,2026-04-21,,"gamegulf,steam",,,,
未发布,0/7,,"en, zh-hans, ja, fr, es, de, pt",Bubsy 4D（日文版，中文名待确认）,manual/common,Bubsy 4D (やまねこバブジー 4D),https://www.gamegulf.com/detail/7Flsba5gsJj,bubsy-4d-4d.json,,完整游戏,2026-04-21,,gamegulf,,,,
已发布完整,7/7,"en, zh-hans, ja, fr, es, de, pt",,蔚蓝,zh-hans title,Celeste,https://www.gamegulf.com/detail/83uNBGDNnOl,celeste.json,,完整游戏,2026-04-29,92,"gamegulf,hltb",celeste-worth-it,2026-04-30,buy_now,Buy now
已发布完整,7/7,"en, zh-hans, ja, fr, es, de, pt",,锁链回声,zh-hans title,Chained Echoes,https://www.gamegulf.com/detail/iapEa7sttwo,chained-echoes.json,,完整游戏,2026-04-29,90,"gamegulf,hltb",chained-echoes-worth-it,2026-04-30,right_player,Worth it for the right player
部分发布,5/7,"en, zh-hans, ja, fr, es","de, pt",小菊苣：缤纷传奇,zh-hans title,Chicory: A Colorful Tale,https://www.gamegulf.com/detail/kKfeWM8ImWj,chicory-a-colorful-tale.json,,完整游戏,2026-04-29,90,"gamegulf,hltb",chicory-a-colorful-tale-worth-it,2026-04-30,wait_for_sale,Wait for sale
已发布完整,7/7,"en, zh-hans, ja, fr, es, de, pt",,和睦森林,zh-hans title,Cozy Grove,https://www.gamegulf.com/detail/1ZWE4WIpTp5,cozy-grove.json,,完整游戏,2026-04-29,71,"gamegulf,enrichment_fallback",cozy-grove-worth-it,2026-04-30,wait_for_sale,Wait for sale
未发布,0/7,,"en, zh-hans, ja, fr, es, de, pt",茶杯头,manual/common,Cuphead,https://www.gamegulf.com/detail/50pq42JLkJ3,cuphead.json,,完整游戏,2026-04-26,87,"gamegulf,steam",,,,
已发布完整,7/7,"en, zh-hans, ja, fr, es, de, pt",,机甲战魔 神话之裔,zh-hans title,Daemon X Machina: Titanic Scion,https://www.gamegulf.com/detail/1YTurw0ZwV5,daemon-x-machina-titanic-scion.json,,完整游戏,2026-04-29,69,"gamegulf,enrichment_fallback",daemon-x-machina-titanic-scion-worth-it,2026-04-30,wait_for_sale,Wait for sale
未发布,0/7,,"en, zh-hans, ja, fr, es, de, pt",潜水员戴夫,manual/common,DAVE THE DIVER,https://www.gamegulf.com/detail/2G7jYyj3ED2,dave-the-diver.json,,完整游戏,2026-04-26,88,gamegulf,,,,
未发布,0/7,,"en, zh-hans, ja, fr, es, de, pt",死亡细胞,manual/common,Dead Cells,https://www.gamegulf.com/detail/2LVqzRzPbY4,dead-cells.json,,完整游戏,2026-04-26,89,gamegulf,,,,
未发布,0/7,,"en, zh-hans, ja, fr, es, de, pt",迪士尼梦幻星谷,manual/common,Disney Dreamlight Valley,https://www.gamegulf.com/detail/8yzWw45jH7D,disney-dreamlight-valley.json,,完整游戏,2026-04-21,,"gamegulf,steam",,,,
未发布,0/7,,"en, zh-hans, ja, fr, es, de, pt",Dosa Divas（中文名待确认）,manual/common,Dosa Divas,https://www.gamegulf.com/detail/2FqEovVMEB1,dosa-divas.json,,完整游戏,2026-04-26,,"gamegulf,steam",,,,
未发布,0/7,,"en, zh-hans, ja, fr, es, de, pt",龙珠斗士Z,manual/common,DRAGON BALL FighterZ,https://www.gamegulf.com/detail/5RjBiFrKel,dragon-ball-fighterz.json,,完整游戏,2026-04-26,87,"gamegulf,steam",,,,
未发布,0/7,,"en, zh-hans, ja, fr, es, de, pt",龙珠：电光炸裂！ZERO,manual/common,DRAGON BALL: Sparking! ZERO,https://www.gamegulf.com/detail/4Km5lDIbVxW,dragon-ball-sparking-zero.json,,完整游戏,2026-04-26,83,"gamegulf,steam",,,,
已发布完整,7/7,"en, zh-hans, ja, fr, es, de, pt",,DUSK,zh-hans gameTitle,DUSK,https://www.gamegulf.com/detail/2DnaPGYGeNp,dusk.json,,完整游戏,2026-04-29,88,gamegulf,dusk-worth-it,2026-04-30,right_player,Right player
未发布,0/7,,"en, zh-hans, ja, fr, es, de, pt",进化之地 传奇版,manual/common,Evoland Legendary Edition,https://www.gamegulf.com/detail/6DnacuZfd9X,evoland-legendary-edition.json,,完整游戏,2026-04-21,,"gamegulf,steam",,,,
已发布完整,7/7,"en, zh-hans, ja, fr, es, de, pt",,Figment,zh-hans gameTitle,Figment,https://www.gamegulf.com/detail/hZKMhNbPlWw,figment.json,,完整游戏,2026-04-07,75,"gamegulf,steam,hltb",figment-worth-it,2026-04-07,buy_now,Buy now
未发布,0/7,,"en, zh-hans, ja, fr, es, de, pt",最终幻想VII 重生,manual/common,FINAL FANTASY VII REBIRTH,https://www.gamegulf.com/detail/fN7eU5tn386,final-fantasy-vii-rebirth.json,,完整游戏,2026-04-21,,"gamegulf,steam",,,,
已发布完整,7/7,"en, zh-hans, ja, fr, es, de, pt",,Hades,zh-hans gameTitle,Hades,https://www.gamegulf.com/detail/3GVaaSqOXnv,hades.json,,完整游戏,2026-04-07,93,"gamegulf,hltb",hades-worth-it,2026-04-07,right_player,Right player
未发布,0/7,,"en, zh-hans, ja, fr, es, de, pt",霍格沃茨之遗：黑魔法包,manual/common,Hogwarts Legacy: Dark Arts Pack,https://www.gamegulf.com/detail/6kxqdECmrmT,hogwarts-legacy-dark-arts-pack.json,,DLC/内容包,2026-04-21,,"gamegulf,steam",,,,
未发布,0/7,,"en, zh-hans, ja, fr, es, de, pt",空洞骑士,manual/common,Hollow Knight,https://www.gamegulf.com/detail/6mHaDw6g1U5,hollow-knight.json,,完整游戏,2026-04-29,90,"gamegulf,hltb",,,,
已发布完整,7/7,"en, zh-hans, ja, fr, es, de, pt",,INSIDE,zh-hans gameTitle,INSIDE,https://www.gamegulf.com/detail/2GhXVp3lBzO,inside-switch-sale-guide.json; inside.json,是,完整游戏,2026-04-07,91,"gamegulf,steam",inside-switch-sale-guide,2026-04-30,wait_for_sale,Wait for sale
部分发布,1/7,en,"zh-hans, ja, fr, es, de, pt",Jack Jeanne（杰克贞德）,manual/common,Jack Jeanne,https://www.gamegulf.com/detail/cLQgELwmAee,jack-jeanne.json,,完整游戏,2026-04-29,90,"gamegulf,hltb",jack-jeanne-worth-it,2026-04-30,right_player,Worth it for the right player
未发布,0/7,,"en, zh-hans, ja, fr, es, de, pt",乐高幻影忍者大电影 电子游戏,manual/common,LEGO® NINJAGO® Movie Video Game,https://www.gamegulf.com/detail/1nZVjVdHDZ1,lego-ninjago-movie-video-game.json,,完整游戏,2026-04-29,,"gamegulf,steam",,,,
已发布完整,7/7,"en, zh-hans, ja, fr, es, de, pt",,小猫咪大城市,zh-hans title,"Little Kitty, Big City",https://www.gamegulf.com/detail/7W5fsHROeLo,little-kitty-big-city.json,,完整游戏,2026-04-07,78,"gamegulf,steam",little-kitty-big-city-worth-it,2026-04-07,right_player,Right player
已发布完整,7/7,"en, zh-hans, ja, fr, es, de, pt",,马力欧卡丁车8 豪华版,zh-hans title,Mario Kart™ 8 Deluxe,https://www.gamegulf.com/detail/hOtepbk2uh2,mario-kart-8-deluxe.json,,完整游戏,2026-04-07,92,"gamegulf,hltb",mario-kart-8-deluxe,2026-04-07,buy_now,Buy now
已发布完整,7/7,"en, zh-hans, ja, fr, es, de, pt",,密特罗德 究极 复刻版,zh-hans title,Metroid Prime™ Remastered,https://www.gamegulf.com/detail/dm86GCKPzG2,metroid-prime-remastered.json,,完整游戏,2026-04-29,94,gamegulf,metroid-prime-remastered-worth-it,2026-04-30,buy_now,Buy now
已发布完整,7/7,"en, zh-hans, ja, fr, es, de, pt",,密特罗德 生存恐惧,zh-hans title,Metroid™ Dread,https://www.gamegulf.com/detail/1HNILYERbn5,metroid-dread.json,,完整游戏,2026-04-07,88,"gamegulf,hltb",metroid-dread,2026-04-07,buy_now,Buy now
已发布完整,7/7,"en, zh-hans, ja, fr, es, de, pt",,怪物男孩与被诅咒的王国,zh-hans title,Monster Boy and the Cursed Kingdom,https://www.gamegulf.com/detail/1vs5joujuwt,monster-boy-and-the-cursed-kingdom.json,,完整游戏,2026-04-29,86,"gamegulf,steam",monster-boy-and-the-cursed-kingdom-worth-it,2026-04-30,buy_now,Buy now
已发布完整,7/7,"en, zh-hans, ja, fr, es, de, pt",,怪物猎人 崛起,zh-hans title,Monster Hunter Rise,https://www.gamegulf.com/detail/lqa9TJHCgVE,monster-hunter-rise.json,,完整游戏,2026-04-08,88,gamegulf,monster-hunter-rise-worth-it,2026-04-08,buy_now,Buy now
未发布,0/7,,"en, zh-hans, ja, fr, es, de, pt",Nicktoons & The Dice of Destiny：Wardrobe of Wonder Pack（DLC，中文名待确认）,manual/common,Nicktoons & The Dice of Destiny - Wardrobe of Wonder Pack,https://www.gamegulf.com/detail/4InB054ixft,nicktoons-the-dice-of-destiny-wardrobe-of-wonder-pack.json,,DLC/内容包,2026-04-21,,"gamegulf,steam",,,,
已发布完整,7/7,"en, zh-hans, ja, fr, es, de, pt",,无人深空,zh-hans title,No Man's Sky,https://www.gamegulf.com/detail/jOx3ZV1olfz,no-man-s-sky.json,,完整游戏,2026-04-21,83,"gamegulf,steam,hltb",no-man-s-sky-worth-it,2026-04-21,buy_now,Buy now
未发布,0/7,,"en, zh-hans, ja, fr, es, de, pt",无人深空 Nintendo Switch 2 版,manual/common,No Man's Sky – Nintendo Switch™ 2 Edition,https://www.gamegulf.com/detail/lROewPLRbnZ,no-man-s-sky-nintendo-switch-2-edition.json,,平台版本,2026-04-21,,gamegulf,,,,
已发布完整,7/7,"en, zh-hans, ja, fr, es, de, pt",,Novel Rogue,zh-hans gameTitle,Novel Rogue,https://www.gamegulf.com/detail/1PBv755th4U,novel-rogue.json,,完整游戏,2026-04-29,,"gamegulf,steam",novel-rogue-worth-it,2026-04-30,right_player,Worth it for the right player
部分发布,2/7,"en, zh-hans","ja, fr, es, de, pt",精灵与森林：决定版,zh-hans title,Ori and the Blind Forest: Definitive Edition,https://www.gamegulf.com/detail/e64l6e8kvjr,ori-and-the-blind-forest-definitive-edition.json,,完整游戏,2026-04-29,90,"gamegulf,hltb",ori-and-the-blind-forest-definitive-edition-worth-it,2026-04-29,wait_for_sale,Wait for sale
已发布完整,7/7,"en, zh-hans, ja, fr, es, de, pt",,精灵与萤火意志,zh-hans title,Ori and the Will of the Wisps,https://www.gamegulf.com/detail/9t3j1FNGEAF,ori-and-the-will-of-the-wisps.json,,完整游戏,2026-04-29,93,"gamegulf,steam,hltb",ori-and-the-will-of-the-wisps-worth-it,2026-04-07,wait_for_sale,Wait for sale
未发布,0/7,,"en, zh-hans, ja, fr, es, de, pt",隐迹渐现,manual/common,Pentiment,https://www.gamegulf.com/detail/a4rTYMFl9zT,pentiment.json,,完整游戏,2026-04-29,90,gamegulf,,,,
未发布,0/7,,"en, zh-hans, ja, fr, es, de, pt",People of Note（中文名待确认）,manual/common,People of Note,https://www.gamegulf.com/detail/er4LLAIOlU,people-of-note.json,,完整游戏,2026-04-21,,"gamegulf,steam",,,,
已发布完整,7/7,"en, zh-hans, ja, fr, es, de, pt",,女神异闻录5 皇家版,zh-hans title,Persona 5 Royal,https://www.gamegulf.com/detail/INlLdFP5Q9,persona-5-royal.json,,完整游戏,2026-04-07,94,"gamegulf,steam,hltb",persona-5-royal-worth-it,2026-04-07,wait_for_sale,Wait for sale
已发布完整,7/7,"en, zh-hans, ja, fr, es, de, pt",,Pikmin 4,zh-hans gameTitle,Pikmin™ 4,https://www.gamegulf.com/detail/c0V9fA7j5D0,pikmin-4.json,,完整游戏,2026-04-07,,"gamegulf,hltb",pikmin-4,2026-04-07,right_player,Right player
未发布,0/7,,"en, zh-hans, ja, fr, es, de, pt",植物大战僵尸：Replanted（中文名待确认）,manual/common,Plants vs. Zombies™: Replanted,https://www.gamegulf.com/detail/6HZxLtkN1gY,plants-vs-zombies-replanted.json,,完整游戏,2026-04-21,,"gamegulf,steam",,,,
未发布,0/7,,"en, zh-hans, ja, fr, es, de, pt",POOL ROOM BILLIARD（中文名待确认）,manual/common,POOL ROOM BILLIARD,https://www.gamegulf.com/detail/4PLUJBMfP8X,pool-room-billiard.json,,完整游戏,2026-04-26,,gamegulf,,,,
未发布,0/7,,"en, zh-hans, ja, fr, es, de, pt",Psyvariar3,manual/common,Psyvariar3,https://www.gamegulf.com/detail/9ZIG09suBe5,psyvariar3.json,,完整游戏,2026-04-21,,"gamegulf,steam",,,,
部分发布,4/7,"en, zh-hans, ja, fr","es, de, pt",星之海,zh-hans title,Sea of Stars,https://www.gamegulf.com/detail/iG1qRTPsPfn,sea-of-stars.json,,完整游戏,2026-04-29,90,"gamegulf,hltb",sea-of-stars-worth-it,2026-04-30,buy_now,Buy now
未发布,0/7,,"en, zh-hans, ja, fr, es, de, pt",影子战术：将军之刃,manual/common,Shadow Tactics: Blades of the Shogun,https://www.gamegulf.com/detail/3pCi8QDLHfn,shadow-tactics-blades-of-the-shogun.json,,完整游戏,2026-04-26,,gamegulf,,,,
部分发布,4/7,"en, zh-hans, ja, fr","es, de, pt",桑塔与海盗的诅咒,zh-hans title,Shantae and the Pirate's Curse,https://www.gamegulf.com/detail/2FXuQLdeecV,shantae-and-the-pirate-s-curse.json,,完整游戏,2026-04-29,86,"gamegulf,steam",shantae-and-the-pirate-s-curse-worth-it,2026-04-30,right_player,Worth it for the right player
已发布完整,7/7,"en, zh-hans, ja, fr, es, de, pt",,铲子骑士：宝藏版,zh-hans title,Shovel Knight: Treasure Trove,https://www.gamegulf.com/detail/fppDS0HCLd8,shovel-knight-treasure-trove.json,,完整游戏,2026-04-30,91,"gamegulf,steam",shovel-knight-treasure-trove-worth-it,2026-04-30,buy_now,Buy now
未发布,0/7,,"en, zh-hans, ja, fr, es, de, pt",史努比与大侦探俱乐部：Joe Cool Fun Pack（DLC，中文名待确认）,manual/common,Snoopy & The Great Mystery Club - Joe Cool Fun Pack,https://www.gamegulf.com/detail/ilppjvoZ4dv,snoopy-the-great-mystery-club-joe-cool-fun-pack.json,,DLC/内容包,2026-04-21,,"gamegulf,steam",,,,
已发布完整,7/7,"en, zh-hans, ja, fr, es, de, pt",,索尼克 狂欢,zh-hans title,Sonic Mania,https://www.gamegulf.com/detail/2DumzaIwa0N,sonic-mania.json,,完整游戏,2026-04-29,86,"gamegulf,steam",sonic-mania-worth-it,2026-04-30,wait_for_sale,Wait for sale
未发布,0/7,,"en, zh-hans, ja, fr, es, de, pt",索尼克 × 夏特 世代重启：刺猬索尼克3 电影包,manual/common,SONIC X SHADOW GENERATIONS: Sonic the Hedgehog 3 Movie Pack,https://www.gamegulf.com/detail/f9OGZos3ohf,sonic-x-shadow-generations-sonic-the-hedgehog-3-movie-pack.json,,DLC/内容包,2026-04-21,,"gamegulf,steam",,,,
已发布完整,7/7,"en, zh-hans, ja, fr, es, de, pt",,星球大战弹球,zh-hans title,Star Wars™ Pinball,https://www.gamegulf.com/detail/1wHJMRuRjHR,star-wars-pinball.json,,完整游戏,2026-04-29,86,gamegulf,star-wars-pinball-worth-it,2026-04-30,right_player,Right player
未发布,0/7,,"en, zh-hans, ja, fr, es, de, pt",堇 / Sumire（中文名待确认）,manual/common,Sumire,https://www.gamegulf.com/detail/4LnuQj83T6c,sumire.json,,完整游戏,2026-04-26,86,"gamegulf,steam",,,,
已发布完整,7/7,"en, zh-hans, ja, fr, es, de, pt",,超级马力欧兄弟 惊奇,zh-hans title,Super Mario Bros.™ Wonder,https://www.gamegulf.com/detail/byr07mi5hyW,super-mario-bros-wonder.json,,完整游戏,2026-04-07,,"gamegulf,hltb",super-mario-bros-wonder-worth-it,2026-04-07,buy_now,Buy now
已发布完整,7/7,"en, zh-hans, ja, fr, es, de, pt",,超级马力欧 奥德赛,zh-hans title,Super Mario Odyssey,https://www.gamegulf.com/detail/4MvMiSCTpzk,super-mario-odyssey.json,,完整游戏,2026-04-29,97,gamegulf,super-mario-odyssey-worth-it,2026-04-26,buy_now,Buy now
已发布完整,7/7,"en, zh-hans, ja, fr, es, de, pt",,任天堂明星大乱斗 特别版,zh-hans title,Super Smash Bros.™ Ultimate,https://www.gamegulf.com/detail/69RQl42tNjM,super-smash-bros-ultimate.json,,完整游戏,2026-04-07,93,gamegulf,super-smash-bros-ultimate-worth-it,2026-04-07,buy_now,Buy now
未发布,0/7,,"en, zh-hans, ja, fr, es, de, pt",忍者神龟：施莱德的复仇,manual/common,Teenage Mutant Ninja Turtles: Shredder's Revenge,https://www.gamegulf.com/detail/2vMq1hkFq10,teenage-mutant-ninja-turtles-shredder-s-revenge.json; teenage-mutant-ninja-turtles-shredders-revenge.json,是,完整游戏,2026-04-26,87,gamegulf,,,,
已发布完整,7/7,"en, zh-hans, ja, fr, es, de, pt",,俄罗斯方块效应：连接,zh-hans title,Tetris® Effect: Connected,https://www.gamegulf.com/detail/6Rq3jqh8KUa,tetris-effect-connected.json,,完整游戏,2026-04-29,94,"gamegulf,steam,hltb",tetris-effect-connected-worth-it,2026-04-07,right_player,Worth it for the right player
未发布,0/7,,"en, zh-hans, ja, fr, es, de, pt",The Last Friend（中文名待确认）,manual/common,The Last Friend,https://www.gamegulf.com/detail/2ymU0S0c9Vu,the-last-friend.json,,完整游戏,2026-04-26,86,gamegulf,,,,
已发布完整,7/7,"en, zh-hans, ja, fr, es, de, pt",,塞尔达传说 王国之泪,zh-hans title,The Legend of Zelda™: Tears of the Kingdom,https://www.gamegulf.com/detail/h14iXKeQ0PR,the-legend-of-zelda-tears-of-the-kingdom.json,,完整游戏,2026-04-07,,"gamegulf,hltb",the-legend-of-zelda-tears-of-the-kingdom-worth-it,2026-04-07,buy_now,Worth It
部分发布,2/7,"en, zh-hans","ja, fr, es, de, pt",Karateka 制作纪实,zh-hans title,The Making of Karateka,https://www.gamegulf.com/detail/wuV7tcmPMD,the-making-of-karateka.json,,完整游戏,2026-04-29,90,"gamegulf,hltb",the-making-of-karateka-worth-it,2026-04-30,wait_for_sale,Wait for sale
已发布完整,7/7,"en, zh-hans, ja, fr, es, de, pt",,七个密室,zh-hans title,The Seven Chambers,https://www.gamegulf.com/detail/1CCpYjfshVH,the-seven-chambers.json,,完整游戏,2026-04-29,,gamegulf,the-seven-chambers-worth-it,2026-04-30,buy_now,Buy now
未发布,0/7,,"en, zh-hans, ja, fr, es, de, pt",小眷灵,manual/common,Tinykin,https://www.gamegulf.com/detail/3fdYo86X9Za,tinykin.json,,完整游戏,2026-04-26,87,"gamegulf,steam",,,,
已发布完整,7/7,"en, zh-hans, ja, fr, es, de, pt",,无誓者,zh-hans title,Unavowed,https://www.gamegulf.com/detail/kxyrmTE8vZE,unavowed.json,,完整游戏,2026-04-30,91,"gamegulf,steam",unavowed-worth-it,2026-04-30,right_player,Depends on taste
已发布完整,7/7,"en, zh-hans, ja, fr, es, de, pt",,传说之下,zh-hans title,Undertale,https://www.gamegulf.com/detail/dvI6J2brEaR,undertale.json,,完整游戏,2026-04-29,93,"gamegulf,steam,hltb",undertale-worth-it,2026-04-30,buy_now,Buy now
已发布完整,7/7,"en, zh-hans, ja, fr, es, de, pt",,圣兽之王,zh-hans title,Unicorn Overlord,https://www.gamegulf.com/detail/7kmNBh2R4gE,unicorn-overlord.json,,完整游戏,2026-04-07,89,"gamegulf,hltb",unicorn-overlord-worth-it,2026-04-07,buy_now,Buy now
未发布,0/7,,"en, zh-hans, ja, fr, es, de, pt",星际战甲,manual/common,Warframe,https://www.gamegulf.com/detail/4iEFCE29B3u,warframe.json,,免费游戏,2026-04-26,86,gamegulf,,,,
已发布完整,7/7,"en, zh-hans, ja, fr, es, de, pt",,艾迪芬奇的记忆,zh-hans title,What Remains of Edith Finch,https://www.gamegulf.com/detail/FMn7HJlmf8,what-remains-of-edith-finch.json,,完整游戏,2026-04-07,88,"gamegulf,hltb",what-remains-of-edith-finch-worth-it,2026-04-07,buy_now,Buy now
未发布,0/7,,"en, zh-hans, ja, fr, es, de, pt",WWE 2K26 标准版,manual/common,WWE 2K26 Standard Edition,https://www.gamegulf.com/detail/g1wMXaZCrsG,wwe-2k26-standard-edition.json,,标准版/游戏版本,2026-04-21,,gamegulf,,,,
未发布,0/7,,"en, zh-hans, ja, fr, es, de, pt",异度神剑3,manual/common,Xenoblade Chronicles™ 3,https://www.gamegulf.com/detail/4mIisPNpCWM,xenoblade-chronicles-3.json,,完整游戏,2026-04-26,89,gamegulf,,,,
